params.detector,cleaned,semantic_pca30,semantic_pca100,fast_text_pca30,fast_text_pca100,enhanced,enhanced_pca30,enhanced_semantic_pca30
autoencoder,0.6003 ± 0.0000,0.5856 ± 0.0000,0.5283 ± 0.0002,0.6445 ± 0.0000,0.6162 ± 0.0000,0.8102 ± 0.0000,0.6453 ± 0.0000,0.6777 ± 0.0000
ecod,0.6125 ± 0.0000,0.5503 ± 0.0000,0.4903 ± 0.0000,0.6258 ± 0.0000,0.6247 ± 0.0000,0.7516 ± 0.0000,0.6975 ± 0.0000,0.6579 ± 0.0000
iforest,0.6141 ± 0.0000,0.6197 ± 0.0000,0.5384 ± 0.0007,0.6523 ± 0.0000,0.6450 ± 0.0000,0.7312 ± 0.0000,0.7071 ± 0.0000,0.6787 ± 0.0006
loda,0.5151 ± 0.0500,0.4303 ± 0.0000,0.4832 ± 0.0000,0.5005 ± 0.0000,0.5127 ± 0.0000,0.8037 ± 0.0000,0.7154 ± 0.0000,0.5056 ± 0.0000
