model,AP,AUPRC,AUROC,runtime_s,n_runs
ecod,0.0945,0.092,0.7213,0.6743,3
iforest,0.0849,0.0832,0.706,2.303,3
loda,0.0626,0.0607,0.5507,0.594,3
tabpfn_unsup,0.0598,0.0597,0.6434,1443.7897,3
autoencoder,0.0592,0.0578,0.6029,188.9135,3
anollm,0.0492,0.0485,0.596,9606.8165,3
fomo_od,0.0426,0.0414,0.5182,0.4001,3
